Route,Airline,Dist,Passenger,AirFli_From,AirFli_To,SerBothEnds,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To
BCD-CEB,Philippine Airlines,,73924,574,20219,1,30.41,6247.97,6273.01,4311.04
BCD-CEB,Cebu Pacific,,73924,574,20219,1,57.55,6247.97,6273.01,4311.04
BPA-CEB,Philippine Airlines,,9248,136,20219,1,30.41,10000,10000,4311.04
BXU-CEB,Cebu Pacific,,79992,632,20219,1,57.55,6102.37,6125.44,4311.04
BXU-CEB,Philippine Airlines,,79992,632,20219,1,30.41,6102.37,6125.44,4311.04
CEB-BCD,Cebu Pacific,,744,20219,574,1,57.55,10000,4311.04,6273.01
CEB-BXU,Cebu Pacific,,744,20219,632,1,57.55,10000,4311.04,6125.44
CEB-CEB,Cebu Pacific,,1692,20219,20219,1,57.55,3552.39,4311.04,4311.04
CEB-CEB,Philippine Airlines,,1692,20219,20219,1,30.41,3552.39,4311.04,4311.04
CEB-CEB,Cebgo,,1692,20219,20219,1,1.12,3552.39,4311.04,4311.04
CEB-CGM,Cebu Pacific,,558,20219,241,1,57.55,5555.56,4311.04,9917.36
CEB-CGM,Cebgo,,558,20219,241,1,1.12,5555.56,4311.04,9917.36
CEB-CGY,Cebu Pacific,,558,20219,1438,1,57.55,10000,4311.04,6589.32
CEB-CRK,SEair International,,280,20219,522,1,0.34,10000,4311.04,4713.16
CEB-DPL,Cebu Pacific,,186,20219,203,1,57.55,10000,4311.04,10000
CEB-DRP,Cebu Pacific,,558,20219,216,1,57.55,10000,4311.04,10000
CEB-DVO,Cebu Pacific,,186,20219,1595,1,57.55,10000,4311.04,5084.43
CEB-IAO,Cebu Pacific,,744,20219,1672,1,57.55,10000,4311.04,6480.58
CEB-ILO,Cebu Pacific,,2046,20219,355,1,57.55,8347.11,4311.04,9923.17
CEB-ILO,Cebgo,,2046,20219,355,1,1.12,8347.11,4311.04,9923.17
CEB-MNL,Philippine Airlines,,974,20219,8510,1,30.41,6392.45,4311.04,3521.25
CEB-MNL,Cebu Pacific,,974,20219,8510,1,57.55,6392.45,4311.04,3521.25
CEB-MPH,Cebu Pacific,,558,20219,666,1,57.55,10000,4311.04,5955.68
CEB-OZC,Cebu Pacific,,186,20219,187,1,57.55,10000,4311.04,10000
CEB-PAG,Cebgo,,37572,20219,960,1,1.12,10000,4311.04,6573.47
CEB-SUG,Cebu Pacific,,372,20219,353,1,57.55,10000,4311.04,9943.5
CEB-TAC,Cebu Pacific,,558,20219,546,1,57.55,10000,4311.04,5434.89
CEB-USU,Cebu Pacific,,186,20219,734,1,57.55,10000,4311.04,7006.66
CGM-CEB,Cebu Pacific,,44268,241,20219,1,57.55,10000,9917.36,4311.04
CGY-CEB,Cebu Pacific,,194558,1438,20219,1,57.55,6579.93,6589.32,4311.04
CGY-CEB,Philippine Airlines,,194558,1438,20219,1,30.41,6579.93,6589.32,4311.04
CGY-DVO,Cebu Pacific,,186,1438,1595,1,57.55,10000,6589.32,5084.43
CRK-BSO,Philippine Airlines,,12988,522,510,1,30.41,10000,4713.16,10000
CRK-CEB,SEair International,,56446,522,20219,1,0.34,6672.49,4713.16,4311.04
CRK-CEB,Cebu Pacific,,56446,522,20219,1,57.55,6672.49,4713.16,4311.04
CRM-CEB,Philippine Airlines,,3332,49,20219,1,30.41,10000,10000,4311.04
CYP-CEB,Cebu Pacific,,42594,229,20219,1,57.55,10000,10000,4311.04
DGT-CEB,Cebu Pacific,,46500,251,20219,1,57.55,10000,10000,4311.04
DPL-CEB,Cebu Pacific,,37572,203,20219,1,57.55,10000,10000,4311.04
DRP-CEB,Cebu Pacific,,39662,216,20219,1,57.55,10000,10000,4311.04
DVO-CEB,Philippine Airlines,,165944,1595,20219,1,30.41,5091.14,5084.43,4311.04
DVO-CEB,Cebu Pacific,,165944,1595,20219,1,57.55,5091.14,5084.43,4311.04
DVO-ZAM,Cebu Pacific,,186,1595,476,1,57.55,10000,5084.43,5954.24
GES-CEB,Philippine Airlines,,18360,270,20219,1,30.41,10000,10000,4311.04
IAO-CEB,Sunlight Air,,223146,1672,20219,1,0.51,6472.23,6480.58,4311.04
IAO-CEB,Philippine Airlines,,223146,1672,20219,1,30.41,6472.23,6480.58,4311.04
IAO-CEB,Cebu Pacific,,223146,1672,20219,1,57.55,6472.23,6480.58,4311.04
ILO-CEB,Cebu Pacific,,63866,355,20219,1,57.55,9978.73,9923.17,4311.04
ILO-CEB,Philippine Airlines,,63866,355,20219,1,30.41,9978.73,9923.17,4311.04
MNL-BSO,Philippine Airlines,,20944,8510,510,1,30.41,10000,3521.25,10000
MNL-CEB,Philippine Airlines,,1681737,8510,20219,1,30.41,3480.65,3521.25,4311.04
MNL-CEB,Cebu Pacific,,1681737,8510,20219,1,57.55,3480.65,3521.25,4311.04
MNL-CEB,AirAsia,,1681737,8510,20219,1,10.06,3480.65,3521.25,4311.04
MNL-CEB,Sunlight Air,,1681737,8510,20219,1,0.51,3480.65,3521.25,4311.04
MNL-MNL,Cebu Pacific,,186,8510,8510,1,57.55,10000,3521.25,3521.25
MNL-PAG,Cebu Pacific,,66588,8510,960,1,57.55,10000,3521.25,6573.47
MPH-CEB,Cebu Pacific,,93918,666,20219,1,57.55,5941.11,5955.68,4311.04
MPH-CEB,Philippine Airlines,,93918,666,20219,1,30.41,5941.11,5955.68,4311.04
OZC-CEB,Cebu Pacific,,34410,187,20219,1,57.55,10000,10000,4311.04
PAG-CEB,Cebu Pacific,,71238,960,20219,1,57.55,9742.31,6573.47,4311.04
PAG-CEB,Cebgo,,71238,960,20219,1,1.12,9742.31,6573.47,4311.04
PPS-CEB,Cebu Pacific,,85230,521,20219,1,57.55,6428.86,6428.86,4311.04
PPS-CEB,Philippine Airlines,,85230,521,20219,1,30.41,6428.86,6428.86,4311.04
SUG-CEB,Philippine Airlines,,65286,353,20219,1,30.41,9943.18,9943.5,4311.04
SUG-CEB,Cebu Pacific,,65286,353,20219,1,57.55,9943.18,9943.5,4311.04
SWL-CEB,Cebu Pacific,,23808,128,20219,1,57.55,10000,10000,4311.04
TAC-CEB,Cebu Pacific,,62884,546,20219,1,57.55,5416.02,5434.89,4311.04
TAC-CEB,Philippine Airlines,,62884,546,20219,1,30.41,5416.02,5434.89,4311.04
TAC-CEB,AirAsia,,62884,546,20219,1,10.06,5416.02,5434.89,4311.04
USU-CEB,Cebu Pacific,,102976,734,20219,1,57.55,7002.47,7006.66,4311.04
USU-CEB,Philippine Airlines,,102976,734,20219,1,30.41,7002.47,7006.66,4311.04
ZAM-CEB,Cebu Pacific,,59038,476,20219,1,57.55,5938.81,5954.24,4311.04
ZAM-CEB,Philippine Airlines,,59038,476,20219,1,30.41,5938.81,5954.24,4311.04
ZAM-DVO,Cebu Pacific,,186,476,1595,1,57.55,10000,5954.24,5084.43
